subassembly,fabrication_class,part_id,file_name,path,size_bytes,sha256
400,MJF_PA12,ASV1_400_07C,ASV1_400_07C.STEP,mechanical/ASV1/400/FABRICATION/MJF_PA12/ASV1_400_07C.STEP,2428138,b13e884e6bd3b7cc0448dfac2234c7fd8293d37255cc5a913dbba47d15063548
400,MJF_PA12,ASV1_400_15C,ASV1_400_15C.step,mechanical/ASV1/400/FABRICATION/MJF_PA12/ASV1_400_15C.step,1826119,be27cdf2434185ccc7881ba7bada575222a650a95f7bd5495e86fed97c6b26ca
400,MJF_PA12,ASV1_400_16C,ASV1_400_16C.step,mechanical/ASV1/400/FABRICATION/MJF_PA12/ASV1_400_16C.step,1651705,f9df3d4943ec53fa37ca7c753b8e3175acd190f605535d2e588ca7b81a1f305b
400,OFF_THE_SHELF,ASV1_400_01X,ASV1_400_01X.STEP,mechanical/ASV1/400/FABRICATION/OFF_THE_SHELF/ASV1_400_01X.STEP,90588,835c0e351a357ce1658e7c51a32d48d7abe6c010ad5841d88e1111a92c05b010
400,OFF_THE_SHELF,ASV1_400_08X,ASV1_400_08X.STEP,mechanical/ASV1/400/FABRICATION/OFF_THE_SHELF/ASV1_400_08X.STEP,14317,5da5aae79f13f5938a13ac7471b764652dd5d19ccfb5030ef509e78a0976d23c
400,OFF_THE_SHELF,ASV1_400_09X,ASV1_400_09X.STEP,mechanical/ASV1/400/FABRICATION/OFF_THE_SHELF/ASV1_400_09X.STEP,51096,d46261272cc416c139fbbb44fad8f8319595c4a86f6b3fb45fdeaee50d5acc61
400,OFF_THE_SHELF,ASV1_400_10X,ASV1_400_10X.STEP,mechanical/ASV1/400/FABRICATION/OFF_THE_SHELF/ASV1_400_10X.STEP,156159,6cebacc5194525048a9f9a09684cfb71acf2250fe4585227dd7367f7ad95562e
400,OFF_THE_SHELF,ASV1_400_21X,ASV1_400_21X.STEP,mechanical/ASV1/400/FABRICATION/OFF_THE_SHELF/ASV1_400_21X.STEP,139326,946bf62632eccafdf7bb514f9b94ab159c99ebd15b78df43d45ccac3895885e8
400,OFF_THE_SHELF,ASV1_400_22X,ASV1_400_22X.STEP,mechanical/ASV1/400/FABRICATION/OFF_THE_SHELF/ASV1_400_22X.STEP,11900,673e96a8b436e68197ff69883b98f2c6865314078f2d5a41ab146da318c7eeef
400,OFF_THE_SHELF,ASV1_400_23X,ASV1_400_23X.STEP,mechanical/ASV1/400/FABRICATION/OFF_THE_SHELF/ASV1_400_23X.STEP,11900,cf2cbce5c98d46c99741cc05315ed8de17ccd5cd4bdb92dd7cd6a4b57c45c92b
500,ALU_7075,ASV1_500_05A,ASV1_500_05A.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_05A.STEP,157223,20b18d221452a6dcb6de3f379c7ae0d4c47c156ab233ad97879ca65f85d86e3a
500,ALU_7075,ASV1_500_06A,ASV1_500_06A.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_06A.STEP,205823,6da718b84db46a512e33d2e7c89efc3a3bd718d2513b271c4756691daae434d7
500,ALU_7075,ASV1_500_08A,ASV1_500_08A.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_08A.STEP,158306,29923bede557177d5f241c7769cbbee4318d155b62306b114f7a70521b16e739
500,ALU_7075,ASV1_500_09A,ASV1_500_09A.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_09A.STEP,216576,5f7b67bd7c598436cbd8e338a4ad7e955d294deca38c4b3b771d649f8c0ea86d
500,ALU_7075,ASV1_500_12A,ASV1_500_12A.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_12A.STEP,38902,ddfaaa849f7f36a2b51af1cb8b9006d0e380f4d9a29fa760032a63457bf23835
500,ALU_7075,ASV1_500_23A_SS,ASV1_500_23A_SS.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_23A_SS.STEP,1467105,f0d74a60bb065a8eade0f5df7b132925a04883d102422c558df3aeb2d4b84b89
500,ALU_7075,ASV1_500_24A_SS,ASV1_500_24A_SS.STEP,mechanical/ASV1/500/FABRICATION/ALU_7075/ASV1_500_24A_SS.STEP,1467107,c18b819f3773432379513bed56c785ba7e0e45cf0556963299ade286aca639d3
